name;Label;owner;affiliation;platform;type;start_time;Degree;indegree;outdegree;BetweennessCentrality
0;Trailer #2;;;TV;Video;04/09/2001;7;2;5;3,51
1;"(503) 321 5122 ""Welcome my child. Once upon a time there was a forest, that teemed with life love, sex and violence.""";;Mother;RL;Sound;04/09/2001;2;1;1;0,57
2;thevisionary.net;;;INT;Webpage;04/09/2001;3;1;2;1,25
3;"""Once upon a time, there was a rude""";;;INT;Sound;04/09/2001;1;1;0;0,00
4;"""""I am so, so sorry. I don't know what got into me.""";;;EMAIL;Email;04/09/2001;2;1;1;1,77
5;"""JEANINE Once upon a time there was a young man""";;;EMAIL;Email;04/09/2001;3;1;2;2,43
6;Bangalore World University webpage;;;INT;Webpage;04/09/2001;57;61;7;26,20
7;A.I. Studies department webpage;;;INT;Webpage;04/09/2001;11;4;7;9,23
8;"212 502-1177 ""I am out of town on personal business for a few days.""";JS;Jeanine Salla;RL;Sound;04/09/2001;6;2;4;0,68
9;"(919) 425-2310 """"I want to thank everybody for their support during this difficult time.""";NAN;Nancy Chan;RL;Sound;04/09/2001;4;2;2;0,44
10;"jsalla@bangaloreworldu-in.co.nz ""Although Dr. Salla would prefer to deal with you in person,""";JS;;EMAIL;Email;04/09/2001;2;1;1;0,00
11;Salla Family Webpage;LJS;Laia Joanna Salla;INT;Webpage;04/09/2001;12;3;9;28,15
12;BWU Alum Swinton Featured in;;Martin Swinton;INT;Post;04/09/2001;6;1;5;2,78
13;Chan Family webpage;EC;Evan Chan;INT;Webpage;04/09/2001;6;1;5;2,27
14;Donutech webpage;;;INT;Webpage;04/09/2001;8;11;6;7,01
15;Chan Family scrapbook;EC;Evan Chan;INT;Photo;04/09/2001;28;16;12;6,41
16;Chan Family news;EC;Evan Chan;INT;Post;04/09/2001;7;3;4;0,14
17;Four Women webpage;LJS;Laia Joanna Salla;INT;Webpage;04/09/2001;9;2;7;5,37
18;in memoriam webpage;LJS;Laia Joanna Salla;INT;Webpage;04/09/2001;5;3;2;1,48
19;Letter webpage (Chemistry puzzle);LJS;Sencha;INT;Puzzle;04/09/2001;5;1;4;1,22
20;"""Get out. Deep Water. You would drown.""";LJS;Laia Joanna Salla;INT;Animation;04/09/2001;1;1;0;0,00
21;inourimage.org;;;INT;Webpage;04/09/2001;13;12;7;4,59
22;Short History of Robot Evolution;;;INT;Webpage;04/09/2001;2;2;0;0,00
23;Existence as an AI;;;INT;Webpage;04/09/2001;2;2;0;0,00
24;How you can Help;;;INT;Webpage;04/09/2001;2;2;0;0,00
25;News;;;INT;Webpage;04/09/2001;3;2;2;4,84
26;Research Staff;;;INT;Webpage;04/09/2001;11;1;10;1,79
27;about ibrim;;;INT;Webpage;04/09/2001;1;1;0;0,00
28;about carter;;;INT;Webpage;04/09/2001;1;1;0;0,00
29;about tiffany;;;INT;Webpage;04/09/2001;1;1;0;0,00
30;about valerie;;;INT;Webpage;04/09/2001;1;1;0;0,00
31;about mario;;;INT;Webpage;04/09/2001;1;1;0;0,00
32;about svetlana;;;INT;Webpage;04/09/2001;2;2;0;0,00
33;about moussa;;;INT;Webpage;04/09/2001;1;1;0;0,00
34;about salif;;;INT;Webpage;04/09/2001;1;1;0;0,00
35;about evan;;;INT;Webpage;04/09/2001;1;1;0;0,00
36;"""If you get this message, I'm either not here or working on some vast""";MD;Mario Dauphin;EMAIL;Email;04/09/2001;2;1;1;1,12
37;unite-and-resist.org;;;INT;Webpage;04/09/2001;25;13;14;16,83
38;Evan Chan's private workplace webpage;EC;Evan Chan;INT;Webpage;04/09/2001;25;3;22;12,82
39;Change in policy;EC;Mother;INT;Post;07/13/2001;1;1;0;0,00
40;Forgiveness;EC;Mother;INT;Post;07/10/2001;3;1;2;0,47
41;Candy;EC;Mother;INT;Post;06/28/2001;1;1;0;0,00
42;The Witch;EC;Mother;INT;Post;06/05/2001;1;1;0;0,00
43;The pillaging continues;EC;Mother;INT;Post;04/24/2001;1;1;0;0,00
44;grave robber;EC;Mother;INT;Post;04/10/2001;1;1;0;0,00
45;Big Push;EC;Ibrim Hoxa;INT;Post;04/09/2001;1;1;0;0,00
46;Search Request;EC;Instant Genius;INT;Post;04/09/2001;1;1;0;0,00
47;Cover for you on Sat.;EC;Mario Dauphin;INT;Post;04/09/2001;1;1;0;0,00
48;Gene Swapping?;EC;Jeanine Salla;INT;Post;04/09/2001;2;1;1;0,06
49;Authorization Expired;EC;Greater Durham Public Library;INT;Post;04/09/2001;1;1;0;0,00
50;Poetry Rejected;EC;Kalamazoo Poetry Paths;INT;Post;04/09/2001;1;1;0;0,00
51;On Track;EC;Ibrim Hoxa;INT;Post;04/09/2001;1;1;0;0,00
52;Hey This is Me;EC;Mel Green;INT;Post;04/09/2001;1;1;0;0,00
53;Haven't Seen You;EC;Kitty's Subdermal Sin Massage Institute;INT;Post;04/09/2001;1;1;0;0,00
54;(Events) January;EC;Evan Chan;INT;Post;04/09/2001;1;1;0;0,00
55;(Events) February;EC;Evan Chan;INT;Post;04/09/2001;1;1;0;0,00
56;(Events) March;EC;Evan Chan;INT;Post;04/09/2001;1;1;0;0,00
57;(Events) April;EC;Evan Chan;INT;Post;04/09/2001;1;1;0;0,00
58;(Events) May;EC;Evan Chan;INT;Post;04/09/2001;1;1;0;0,00
59;(Events) June;EC;Evan Chan;INT;Post;04/09/2001;1;1;0;0,00
60;"""If you need to know how to get to the funeral""";JS;Jeanine Salla;RL;Sound;04/09/2001;2;1;1;0,22
61;"""Laia, I know your not going to like this""";JS;Jeanine Salla;RL;Sound;04/09/2001;1;1;0;0,00
